ClientID,Zone,TypeClient,Mois,NbCommandes,TempsLivraisonMoyen,VolumeLitres,Satisfaction,Statut,Cause,Latitude,Longitude,PointDeVente
1,Ambohijatovo,Particulier,2024-01,3,2.430867849414408,60,4.4,Livrée,,-18.9105,47.5238,Andranomena
1,Ambohijatovo,Particulier,2024-02,2,2.2095609329882424,20,4.4,Livrée,,-18.9105,47.5238,Andranomena
1,Ambohijatovo,Particulier,2024-03,2,2.2374150964109263,20,4.4,Livrée,,-18.9105,47.5238,Andranomena
1,Ambohijatovo,Particulier,2024-04,3,2.0459879622393946,30,4.4,Livrée,,-18.9105,47.5238,Andranomena
1,Ambohijatovo,Particulier,2024-05,3,1.7938481493323541,30,4.4,Livrée,,-18.9105,47.5238,Andranomena
1,Ambohijatovo,Particulier,2024-06,1,1.9245032112888487,10,4.4,Livrée,,-18.9105,47.5238,Andranomena
1,Ambohijatovo,Particulier,2024-07,3,2.6878490091728358,60,4.4,Livrée,,-18.9105,47.5238,Andranomena
1,Ambohijatovo,Particulier,2024-08,1,2.1991466938853015,20,4.4,Retard,Panne véhicule,-18.9105,47.5238,Andranomena
1,Ambohijatovo,Particulier,2024-09,2,3.426139092254469,20,4.4,Livrée,,-18.9105,47.5238,Andranomena
1,Ambohijatovo,Particulier,2024-10,3,3.88915652077622,60,4.4,Livrée,,-18.9105,47.5238,Andranomena
1,Ambohijatovo,Particulier,2024-11,7,3.0968198621411585,70,4.4,Annulation (client),Client insatisfait,-18.9105,47.5238,Andranomena
1,Ambohijatovo,Particulier,2024-12,1,1.9954573285674462,10,4.4,Livrée,,-18.9105,47.5238,Andranomena
2,Analamahitsy,Particulier,2024-01,3,1.9347238476592166,60,2.7,Livrée,,-18.8705,47.5477,Analakely
2,Analamahitsy,Particulier,2024-02,3,2.567214441314011,30,2.7,Livrée,,-18.8705,47.5477,Analakely
2,Analamahitsy,Particulier,2024-03,1,2.7910613973565197,10,2.7,Annulation (client),Client insatisfait,-18.8705,47.5477,Analakely
2,Analamahitsy,Particulier,2024-04,2,2.9438742297966787,20,2.7,Livrée,,-18.8705,47.5477,Analakely
2,Analamahitsy,Particulier,2024-05,1,2.665631715701782,20,2.7,Livrée,,-18.8705,47.5477,Analakely
2,Analamahitsy,Particulier,2024-06,1,2.9877725635611796,10,2.7,Livrée,,-18.8705,47.5477,Analakely
2,Analamahitsy,Particulier,2024-07,3,2.463994939209833,30,2.7,Livrée,,-18.8705,47.5477,Analakely
2,Analamahitsy,Particulier,2024-08,3,3.001766448946012,30,2.7,Retard,Panne véhicule,-18.8705,47.5477,Analakely
2,Analamahitsy,Particulier,2024-09,4,1.7906247707042986,80,2.7,Livrée,,-18.8705,47.5477,Analakely
2,Analamahitsy,Particulier,2024-10,3,3.0212458086697103,60,2.7,Livrée,,-18.8705,47.5477,Analakely
2,Analamahitsy,Particulier,2024-11,2,2.0957531985534064,40,2.7,Livrée,,-18.8705,47.5477,Analakely
2,Analamahitsy,Particulier,2024-12,7,2.249121478207732,140,2.7,Livrée,,-18.8705,47.5477,Analakely
3,Ambohijatovo,Particulier,2024-01,4,2.336168926701116,40,3.4,Livrée,,-18.9105,47.5238,Andranomena
3,Ambohijatovo,Particulier,2024-02,2,2.328642741736615,20,3.4,Livrée,,-18.9105,47.5238,Andranomena
3,Ambohijatovo,Particulier,2024-03,4,2.0988613653891903,80,3.4,Livrée,,-18.9105,47.5238,Andranomena
3,Ambohijatovo,Particulier,2024-04,4,2.530115104970513,40,3.4,Livrée,,-18.9105,47.5238,Andranomena
3,Ambohijatovo,Particulier,2024-05,1,3.731621056242643,10,3.4,Livrée,,-18.9105,47.5238,Andranomena
3,Ambohijatovo,Particulier,2024-06,2,2.669910482093322,20,3.4,Retard,Météo,-18.9105,47.5238,Andranomena
3,Ambohijatovo,Particulier,2024-07,3,2.4963099250277136,60,3.4,Livrée,,-18.9105,47.5238,Andranomena
3,Ambohijatovo,Particulier,2024-08,5,2.2532837588983368,100,3.4,Livrée,,-18.9105,47.5238,Andranomena
3,Ambohijatovo,Particulier,2024-09,1,2.961581304170976,20,3.4,Livrée,,-18.9105,47.5238,Andranomena
3,Ambohijatovo,Particulier,2024-10,2,1.7246682844669337,40,3.4,Livrée,,-18.9105,47.5238,Andranomena
3,Ambohijatovo,Particulier,2024-11,3,2.5342814874030135,30,3.4,Livrée,,-18.9105,47.5238,Andranomena
3,Ambohijatovo,Particulier,2024-12,2,2.321627487115903,40,3.4,Livrée,,-18.9105,47.5238,Andranomena
4,Ankorondrano,Entreprise,2024-01,10,2.7609707828084487,200,4.4,Livrée,,-18.8813,47.5365,By Pass
